Champion Name,Gender,Primary Role,Secondary Role,Species,Attractive?,Armor?,"""Useful"" Armor?","""Skin""?",Muscular?,Comment
Aatrox,M,Fighter,Tank,Humanoid,No,Yes,No,Yes,Yes,"Not sure if that's natural armor or not, but I looks like armor all the same"
Ahri,F,Mage,Assassin,Humanoid,Yes,No,N/A,Some,No,
Akali,F,Assassin,,Human,Yes,No,N/A,Yes,No,"can't see her face, but still put her down as attractive because her pose is meant to be attractive, unlike Kayle"
Alistar,M,Tank,,Monster,No,No,N/A,Yes,Yes,
Amumu,M,Tank,Mage,Yordle,No,No,N/A,No,No,
Anivia,F,Mage,Support,Monster,No,N/A,N/A,N/A,N/A,"only female monster, what a madam (is there another word for a female pimp?)"
Annie,F,Mage,,Human,No,No,N/A,No,No,only unattractive female human
Ashe,F,Marksman,Support,Human,Yes,No,N/A,Some,No,
Azir,M,Mage,Marksman,Humanoid,N/A,Yes,Yes,No,No,"his pants look big, but I wouldn't call that ""muscular"""
Blitzcrank,M,Tank,Fighter,Monster,No,N/A,N/A,N/A,N/A,
Brand,M,Mage,,Humanoid,Yes,No,N/A,Yes,Yes,"""skin"""
Braum,M,Support,Tank,Human,Yes,No,N/A,Yes,Yes,
Caitlyn,F,Marksman,,Human,Yes,No,N/A,Some,No,
Cassiopeia,F,Mage,,Human/Monster,Yes,No,N/A,Yes,No,
Cho'Gath,M,Tank,Mage,Monster,No,N/A,N/A,N/A,N/A,
Corki,M,Marksman,,Yordle,No,No,N/A,No,No,
Darius,M,Fighter,Tank,Human,Yes,Yes,Yes,No,Yes,
Diana,F,Fighter,Mage,Human,Yes,Yes,Yes,No,No,"Not sure if all of what she's wearing is armor or not, but it looks practical to me"
Dr. Mundo,M,Fighter,Tank,Humanoid,No,No,N/A,Yes,Yes,
Draven,M,Marksman,,Human,Yes,Yes,No,No,Yes,
Elise,F,Mage,Fighter,Human/Monster,Yes,No,N/A,Yes,No,
Evelynn,F,Assassin,Mage,Humanoid,Yes,No,N/A,Yes,No,
Ezreal,M,Marksman,Mage,Human,Yes,No,N/A,No,No,
Fiddlesticks,M,Mage,Support,Monster,No,No,N/A,N/A,N/A,
